Date,16/03 16:01,16/03 15:03,16/03 14:01,16/03 13:01,16/03 12:01,16/03 11:02,16/03 10:01,16/03 09:01,16/03 08:03,16/03 07:01,15/03 19:03,15/03 17:01,15/03 16:01,15/03 15:01,15/03 14:01,15/03 13:01,15/03 12:01,15/03 11:02,15/03 10:01,15/03 09:01,15/03 08:01,15/03 07:01
ge,51.0,50.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,36.0,95.0,84.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
nio,73.0,72.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,46.0,125.0,112.0,112.0,112.0,112.0,112.0,112.0,111.0,95.0,91.0,85.0,84.0
road,31.0,30.0,,,,,,,,,,,,,,,,,,,,
apha,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,,,,,,,,,,,
tlry,51.0,50.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,45.0,,,,,,,,,,,,
turn,59.0,57.0,52.0,49.0,48.0,48.0,47.0,46.0,46.0,43.0,32.0,,,,,,,,,,,
ev,85.0,84.0,69.0,65.0,61.0,57.0,56.0,55.0,54.0,42.0,96.0,85.0,84.0,82.0,80.0,77.0,77.0,74.0,74.0,74.0,74.0,66.0
fast,64.0,63.0,54.0,52.0,50.0,49.0,47.0,46.0,43.0,36.0,50.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,,,,
amc,213.0,205.0,185.0,181.0,180.0,178.0,178.0,178.0,175.0,152.0,155.0,121.0,103.0,100.0,87.0,82.0,79.0,74.0,60.0,55.0,53.0,52.0
live,53.0,48.0,45.0,43.0,42.0,41.0,41.0,39.0,38.0,35.0,,,,,,,,,,,,
ride,63.0,60.0,52.0,51.0,50.0,49.0,48.0,47.0,44.0,36.0,38.0,33.0,32.0,32.0,32.0,32.0,30.0,,,,,
form,33.0,32.0,30.0,,,,,,,,,,,,,,,,,,,
gold,143.0,143.0,122.0,122.0,121.0,119.0,119.0,118.0,117.0,97.0,128.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0
sos,90.0,90.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,54.0,92.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
ford,125.0,125.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,95.0,148.0,133.0,133.0,133.0,133.0,133.0,133.0,121.0,51.0,,,
rev,36.0,36.0,,,,,,,,,,,,,,,,,,,,
uwmc,60.0,60.0,51.0,46.0,46.0,46.0,46.0,46.0,46.0,37.0,84.0,75.0,75.0,75.0,74.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0
sumo,58.0,58.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,42.0,41.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,,,,
rkt,89.0,89.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,74.0,52.0,45.0,45.0,44.0,44.0,43.0,43.0,43.0,,,,
ogi,30.0,30.0,,,,,,,,,,,,,,,,,,,,
uk,48.0,48.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,36.0,,,,,,,,,,,,
rsi,32.0,32.0,,,,,,,,,,,,,,,,,,,,
ta,41.0,41.0,38.0,38.0,38.0,37.0,36.0,36.0,36.0,32.0,,,,,,,,,,,,
