Stock,Count,Price,Points,Percentage
shop,35.0,1137.0,6.26,0.55362
tsla,129.0,677.37,3.79,0.56267
rh,74.0,461.38,3.21,0.70061
spot,21.0,275.99,2.41,0.88091
amc,102.0,11.57,1.07,10.19048
z,87.0,139.25,0.98,0.70876
met,15.0,60.49,0.84,1.40821
u,24.0,98.75,0.7,0.71392
net,84.0,69.99,0.56,0.80657
leap,82.0,12.5,0.5,4.16667
nio,50.0,41.81,0.46,1.11245
tsm,15.0,116.66,0.28,0.24059
bill,38.0,149.0,0.26,0.1748
bb,82.0,10.635,0.185,1.77033
ibkr,31.0,79.06,0.18,0.22819
team,21.0,233.2,0.15,0.06436
taco,20.0,11.25,0.13,1.16906
edit,18.0,45.45,0.12,0.26473
bngo,33.0,9.14,0.12,1.33038
ride,44.0,17.415,0.115,0.66474
ceo,51.0,121.86,0.1,0.08213
mac,16.0,13.65,0.1,0.73801
tlry,30.0,24.5,0.09,0.3687
road,16.0,29.29,0.08,0.27388
ge,24.0,14.075,0.075,0.53571
pure,15.0,0.75,0.051,7.29614
crsr,21.0,33.65,0.05,0.14881
pltr,76.0,24.3,0.04,0.16488
fubo,39.0,28.95,0.04,0.13836
t,25.0,29.68,0.04,0.13495
asx,15.0,7.4,0.04,0.54348
ai,57.0,84.95,0.04,0.04711
nok,32.0,3.99,0.03,0.75758
c,17.0,71.02,0.03,0.04226
f,15.0,12.595,0.025,0.19889
ar,15.0,9.25,0.01,0.10823
dd,155.0,75.64,0.0,0.0
turn,64.0,7.37,0.0,0.0
tv,22.0,7.65,0.0,0.0
form,34.0,43.725,0.0,0.0
wash,86.0,52.82,0.0,0.0
pace,20.0,10.33,0.0,0.0
boom,15.0,64.89,0.0,0.0
plus,59.0,105.17,0.0,0.0
cent,18.0,50.74,0.0,0.0
rsi,23.0,15.86,0.0,0.0
leg,50.0,47.63,0.0,0.0
td,55.0,63.95,0.0,0.0
peak,24.0,30.23,0.0,0.0
oi,15.0,12.79,0.0,0.0
wish,41.0,16.99,0.0,0.0
fast,55.0,45.69,0.0,0.0
info,81.0,93.26,0.0,0.0
step,25.0,31.01,0.0,0.0
live,45.0,23.54,0.0,0.0
cc,76.0,25.76,0.0,0.0
imo,27.0,0.0,0.0,0.0
loan,15.0,5.42,0.0,0.0
tr,16.0,32.2,0.0,0.0
site,43.0,165.09,0.0,0.0
exp,58.0,126.79,0.0,0.0
sabr,38.0,16.11,0.0,0.0
dash,28.0,141.48,0.0,0.0
dow,43.0,62.26,0.0,0.0
dk,25.0,23.54,0.0,0.0
rare,16.0,124.22,0.0,0.0
ccs,20.0,59.7,0.0,0.0
air,15.0,41.9,0.0,0.0
bolt,18.0,35.69,0.0,0.0
dte,56.0,124.63,0.0,0.0
gm,21.0,54.65,0.0,0.0
gme,440.0,244.31,-2.59,-1.04901
w,17.0,316.21,-2.39,-0.75016
ev,29.0,73.07,-0.72,-0.97574
eyes,41.0,14.82,-0.66,-4.26357
roku,23.0,360.5,-0.61,-0.16892
unfi,20.0,30.11,-0.41,-1.34338
msft,17.0,233.465,-0.315,-0.13474
dish,17.0,34.17,-0.26,-0.75516
sos,17.0,6.41,-0.25,-3.75375
rkt,258.0,25.25,-0.24,-0.94155
mar,62.0,146.89,-0.11,-0.07483
ccl,22.0,27.485,-0.095,-0.34445
uwmc,58.0,8.59,-0.09,-1.03687
ebon,26.0,7.0,-0.09,-1.26939
xom,16.0,59.85,-0.08,-0.13349
sq,15.0,225.01,-0.08,-0.03554
amd,62.0,78.45,-0.08,-0.10187
nvda,31.0,500.73,-0.08,-0.01597
uk,21.0,3.19,-0.07,-2.14724
aapl,98.0,121.02,-0.065,-0.05368
ford,36.0,3.36,-0.04,-1.17647
ocgn,16.0,8.74,-0.04,-0.45558
gold,42.0,19.97,-0.02,-0.10005
xl,22.0,11.6,-0.02,-0.17212
sndl,28.0,1.38,-0.01,-0.71942
cciv,23.0,24.45,-0.01,-0.04088
wmt,16.0,128.88,-0.01,-0.00776
mro,16.0,11.99,-0.01,-0.08333
